session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054ec6c1d7f160a22aa9a6e,6029b02506a226946a2f7734,APPROVED,2021-03-19 18:24:46.814000,2021-03-19 18:27:55.043000,188.229,20,169,0,100,2021-03-21 03:49:51.273000,2C804BBF,Joe Biden,United States,United States,Part-Time,DATA EXPIRED,United States,Female,Yes,Democrat
6054ec75eb76f2d9d14a7caf,5cd8aebb5df66e0001d572c4,APPROVED,2021-03-19 18:24:56.063000,2021-03-19 18:27:11.786000,135.723,27,1155,4,100,2021-03-21 03:49:52.582000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054ec76d5885cbb005de590,5d55a1f2fab56e000140df8f,APPROVED,2021-03-19 18:24:56.950000,2021-03-19 18:26:40.226000,103.276,23,1218,5,99,2021-03-21 03:49:56.896000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Independent
6054ec7a273efd194a1ffc9c,5ae3563e5cd05500015ed96b,APPROVED,2021-03-19 18:25:02.724000,2021-03-19 18:25:57.842000,55.118,36,1686,6,100,2021-03-21 03:50:00.910000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054ec84770be998b8571fb3,5fdcd8be3986cc281ac5952e,APPROVED,2021-03-19 18:25:10.881000,2021-03-19 18:27:30.926000,140.045,18,172,0,100,2021-03-21 03:50:06.782000,2C804BBF,Joe Biden,United States,United States,,,United States,Female,,Democrat
6054ec8e196f43f729bf6677,564f48f19b1249000c7eb1d1,TIMED-OUT,2021-03-19 18:25:18.728000,,876296.244936,35,177,0,100,,,Joe Biden,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,No,Democrat
6054eca61d7f160a22aa9a75,5fad9934e0f4c3142fda0cb3,APPROVED,2021-03-19 18:25:46.054000,2021-03-19 18:27:27.163000,101.109,24,231,3,99,2021-03-21 03:50:08.125000,2C804BBF,Joe Biden,United States,United States,Unemployed (and job seeking),,United States,Male,No,Democrat
6054edb94739da5a4b16dbf2,5e04a5e4500f06f0a31d3123,APPROVED,2021-03-19 18:30:20.152000,2021-03-19 18:31:39.690000,79.538,23,548,1,100,2021-03-21 03:50:10.188000,2C804BBF,Joe Biden,United States,United States,Part-Time,English,United States,Female,No,Democrat
6054eff5c48255613050c775,5d3b61c161a23e001c080633,APPROVED,2021-03-19 18:39:53.613000,2021-03-19 18:41:25.742000,92.129,32,1024,1,100,2021-03-21 03:50:12.486000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Independent
6054f10081527d2adef6383c,5c2d02b82c45d400014a5501,APPROVED,2021-03-19 18:44:19.058000,2021-03-19 18:45:34.450000,75.392,29,76,1,100,2021-03-21 03:50:16.565000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Democrat
